prop.grep,prop.title,prop.leg.title,unit,pcol,raster_min,raster_max,range_min,range_max
Sand,Sand,Sand,%,YlOrBr,45.1300010681152,99.5100021362305,0.189999997615814,9.77000045776367
Silt,Silt,Silt,%,YlOrBr,0.769999980926514,29.5400009155273,0.150000005960464,6.26999998092651
Clay,Clay,Clay,%,YlOrBr,0.0599999986588955,24.1599998474121,0.270000010728836,4.82000017166138
BD,Bulk Density,BD,kg dm-3,Greys,1.25999999046326,1.79999995231628,0.00999999977648258,0.209999993443489
pHwater,pH,pH,water,RdYlBu,4.19999980926514,10.2299995422363,0.0500000007450581,0.709999978542328
ECuScmEL25,Electrical conductivity of 2:5 supernatant,EC,µS cm-1,YlGnBu,-24.9300003051758,2005.31994628906,3.45000004768372,965.97998046875
ECuScmELCO,Electrical conductivity of saturation extract,EC,µS cm-1,PuBu,-74.7300033569336,5974.240234375,7.55999994277954,3038.34008789062
Ca,Calcium,Ca,mg kg-1,YlOrRd,16.34,6457.06982421875,17.2000007629395,1675.13000488281
Mgmgkg,Magnesium,Mg,mg kg-1,BuPu,-3.70000004768372,329.649993896484,3.38000011444092,104.230003356934
Kmgkg,Potassium,K,mg kg-1,BuGn,-3.57999992370605,548.309997558594,1.70000004768372,210.149993896484
Namgkg,Sodium,Na,mg kg-1,YlGn,-2.94000005722046,331,0.560000002384186,179.600006103516
CEC,Cation Exchange Capacity,CEC,cmolc kg-1,RdPu,0.550000011920929,22.3899993896484,0.119999997317791,8.13000011444092
BS,Base Saturation,BS,%,Blues,28.1800003051758,100,0,16.5799999237061
Nmgkg,Nitrogen,N,mg kg-1,Greens,62.4900016784668,844.369995117188,5.36999988555908,175.529998779297
Pmgkg,Phosphorus,P,mg kg-1,Purples,0.0500000007450581,10.0299997329712,0.0599999986588955,3.84999990463257
OC,Organic Carbon,OC,%,Oranges,0.0199999995529652,0.709999978542328,0.00999999977648258,0.129999995231628
